ID	YourLanguageWord	YourLanguageExplanation	LanguageYouLearnWord	LanguageYouLearnPronunciation	LanguageYouLearnExplanation	Tags
064ea9da-1055-0b16-b56a-a1a96c330d95	колебание	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">колебание</div><div class="line_2">['oscillation', 'swing', 'fluctuation', 'hesitation', 'wobble', 'wave']</div><div class="line_1">осцилляция</div><div class="line_2">['oscillation', 'oscillating']</div><div class="line_1">вибрация</div><div class="line_2">['vibration', 'vibrancy', 'oscillation', 'shake', 'chatter', 'judder']</div></div>	oscillation	ˌäsəˈlāSH(ə)n	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">movement back and forth at a regular speed.</div><div class="line_2">the natural oscillation of a spring</div><div class="line_1">regular variation in magnitude or position around a central point.</div></div>	
06a073aa-3c62-a1b4-629c-562b834144a0	чаривари	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">шум</div><div class="line_2">['noise', 'sound', 'uproar', 'din', 'clamor', 'charivari']</div><div class="line_1">гам</div><div class="line_2">['uproar', 'hubbub', 'noise', 'racket', 'clutter', 'charivari']</div><div class="line_1">кошачий концерт</div><div class="line_2">['caterwaul', 'charivari']</div></div>	charivari	ˌSHivəˈrē	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">a noisy mock serenade performed by a group of people to celebrate a marriage or mock an unpopular person.</div><div class="line_2">friends gave them a joyous charivari, with much banging and bell-ringing</div></div>	
06e95df4-d9e1-c434-1bb4-418a6fe4b794	подавленный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">удрученный</div><div class="line_2">['dejected', 'downcast', 'crestfallen', 'dispirited', 'heartsick', 'chapfallen']</div></div>	dispirited	dəˈspirədəd	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">having lost enthusiasm and hope; disheartened.</div><div class="line_2">she was determined to appear unworried in front of her dispirited family</div></div>	
0736f006-b5cb-3bc8-663c-ae5948751f6f	доброжелательный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">милостивый</div><div class="line_2">['gracious', 'merciful', 'benign', 'clement', 'benignant']</div><div class="line_1">добрый</div><div class="line_2">['good', 'kind', 'kindly', 'nice', 'gentle', 'benignant']</div><div class="line_1">мягкий</div><div class="line_2">['soft', 'mild', 'gentle', 'benign', 'bland', 'benignant']</div></div>	benignant	bəˈniɡnənt	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">kindly and benevolent.</div><div class="line_2">an old man, with a face noble and benignant</div><div class="line_1">less common term for benign (sense 2).</div></div>	
07bca87e-8c06-542f-5711-7934725b4ada	правдоподобие	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">правдоподобие</div><div class="line_2">['credibility', 'plausibility', 'verisimilitude', 'probability', 'appearance']</div></div>	verisimilitude	ˌvərəsəˈmiləˌt(y)o͞od	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">the appearance of being true or real.</div><div class="line_2">the detail gives the novel some verisimilitude</div></div>	
07f6d4d0-6b44-904f-3302-00258b1618a2	упорный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">упрямый</div><div class="line_2">['stubborn', 'obstinate', 'opinionated', 'headstrong', 'dogged', 'obdurate']</div><div class="line_1">закоснелый</div><div class="line_2">['obdurate', 'inveterate']</div><div class="line_1">черствый</div><div class="line_2">['stale', 'callous', 'unsympathetic', 'hard', 'obdurate', 'indurate']</div></div>	obdurate	ˈäbd(y)ərət	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">stubbornly refusing to change one's opinion or course of action.</div><div class="line_2">I argued this point with him, but he was obdurate</div></div>	
081708d1-89e4-49b1-6744-de4f591bb436	укорять	<div class="synonyms"><div class="speechpart">Глагол</div><div class="line_1">укорять</div><div class="line_2">['reproach', 'rebuke', 'upbraid']</div><div class="line_1">бранить</div><div class="line_2">['scold', 'revile', 'berate', 'rail', 'upbraid', 'chide']</div><div class="line_1">придираться</div><div class="line_2">['carp', 'find fault', 'fault', 'cavil', 'pick on', 'upbraid']</div></div>	upbraid	ˌəpˈbrād	<div class="definitions"><div class="speechpart">Глагол</div><div class="line_1">find fault with (someone); scold.</div><div class="line_2">he was upbraided for his slovenly appearance</div></div>	
08e893d3-f0d0-8afe-6b52-af92d99c3bbd	добродетель	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">добродетель</div><div class="line_2">['virtue', 'goodness', 'honor', 'honour']</div><div class="line_1">достоинство</div><div class="line_2">['dignity', 'virtue', 'merit', 'denomination', 'quality', 'meritoriousness']</div><div class="line_1">сила</div><div class="line_2">['force', 'power', 'strength', 'intensity', 'might', 'virtue']</div></div>	virtue	ˈvərCHo͞o	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">behavior showing high moral standards.</div><div class="line_2">paragons of virtue</div><div class="line_1">(in traditional Christian angelology) the seventh highest order of the ninefold celestial hierarchy.</div></div>	
096a06e1-5999-a97f-407f-5280bb4c706a	ядовитый	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">вредный</div><div class="line_2">['harmful', 'adverse', 'detrimental', 'pernicious', 'bad', 'pestiferous']</div><div class="line_1">надоедливый</div><div class="line_2">['bothersome', 'annoying', 'pesky', 'boring', 'irksome', 'pestiferous']</div><div class="line_1">распространяющий заразу</div><div class="line_2">['pestiferous', 'pestilential']</div></div>	pestiferous	peˈstifərəs	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">harboring infection and disease.</div><div class="line_2">the pestiferous area around the prison</div></div>	
09785b07-c65f-a908-6864-4250080ad8cc	щекотка	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">щекотание</div><div class="line_2">['tickle', 'titillation', 'fiddle']</div><div class="line_1">щекотка</div><div class="line_2">['tickling', 'tickle', 'titillation']</div><div class="line_1">возбуждение</div><div class="line_2">['excitation', 'excitement', 'agitation', 'stimulation', 'field', 'titillation']</div></div>	titillation	ˌtid(ə)ˈlāSH(ə)n	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">the arousal of interest or excitement, especially through sexually suggestive images or words.</div><div class="line_2">a literary form of popular entertainment and titillation</div></div>	
0a0e301d-d56d-6a13-2529-effec4becc61	чрезмерно		inordinately	iˈnôrdnətlē	<div class="definitions"><div class="speechpart">Наречие</div><div class="line_1">to an unusually or disproportionately large degree; excessively.</div><div class="line_2">the information was inordinately vetted and censored</div></div>	
0b55d59f-0591-4cd3-8798-0c03d65253f7	косо	<div class="synonyms"><div class="speechpart">Наречие</div><div class="line_1">косо</div><div class="line_2">['obliquely', 'askance', 'askew', 'slantwise', 'aslant', 'bias']</div><div class="line_1">искоса</div><div class="line_2">['askance', 'askew', 'askant', 'all squeegee']</div><div class="line_1">с подозрением</div><div class="line_2">['suspiciously', 'askance', 'askant']</div></div>	askance	əˈskans	<div class="definitions"><div class="speechpart">Наречие</div><div class="line_1">with an attitude or look of suspicion or disapproval.</div><div class="line_2">the reformers looked askance at the mystical tradition</div></div>	
0c02136a-15ff-ac0d-4349-151bac0db12a	перепел	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">перепел</div><div class="line_2">['quail']</div><div class="line_1">перепелка</div><div class="line_2">['quail']</div><div class="line_1">студентка</div><div class="line_2">['co-ed', 'quail']</div><div class="speechpart">Имя Прилагательное</div><div class="line_1">перепелиный</div><div class="line_2">['quail']</div><div class="speechpart">Глагол</div><div class="line_1">дрогнуть</div><div class="line_2">['falter', 'waver', 'flinch', 'quail', 'reel']</div><div class="line_1">струсить</div><div class="line_2">['quail', 'make leeway', 'cry craven']</div><div class="line_1">спасовать</div><div class="line_2">['quail']</div></div>	quail	kwāl	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">a small, short-tailed Old World game bird resembling a small partridge, typically having brown camouflaged plumage.</div><div class="line_1">a small or medium-sized New World game bird, the male of which has distinctive facial markings.</div><div class="speechpart">Глагол</div><div class="line_1">feel or show fear or apprehension.</div><div class="line_2">she quailed at his heartless words</div></div>	
0c070251-c269-cff6-b393-b0486ee72fad	тщательный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">строгий</div><div class="line_2">['strict', 'stringent', 'rigorous', 'severe', 'stern', 'strong']</div><div class="line_1">тщательный</div><div class="line_2">['thorough', 'meticulous', 'rigorous', 'close', 'accurate', 'precise']</div><div class="line_1">точный</div><div class="line_2">['accurate', 'exact', 'precise', 'just', 'precision', 'rigorous']</div></div>	rigorous	ˈriɡ(ə)rəs	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">extremely thorough, exhaustive, or accurate.</div><div class="line_2">the rigorous testing of consumer products</div></div>	
0d2fae28-df1f-ca68-f19b-f2100aa5259a	нищий	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">нуждающиеся</div><div class="line_2">['destitute']</div><div class="line_1">бедные</div><div class="line_2">['poor', 'destitute']</div><div class="speechpart">Имя Прилагательное</div><div class="line_1">лишенный</div><div class="line_2">['devoid', 'bereft', 'void', 'free', 'destitute', 'deficient']</div><div class="line_1">сильно нуждающийся</div><div class="line_2">['destitute', 'hard up']</div></div>	destitute	ˈdestəˌt(y)o͞ot	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">without the basic necessities of life.</div><div class="line_2">the charity cares for destitute children</div></div>	
0dbab567-a53d-db8c-2517-1cb785610a64	насмехаться	<div class="synonyms"><div class="speechpart">Глагол</div><div class="line_1">издеваться</div><div class="line_2">['scoff', 'mock', 'flout', 'ride', 'guy', 'roast']</div><div class="line_1">насмехаться</div><div class="line_2">['mock', 'taunt', 'scoff', 'razz', 'sneer', 'deride']</div><div class="line_1">глумиться</div><div class="line_2">['mock', 'scoff', 'sneer', 'jeer', 'flout']</div><div class="speechpart">Имя Существительное</div><div class="line_1">насмешка</div><div class="line_2">['mockery', 'ridicule', 'sneer', 'taunt', 'jibe', 'scoff']</div><div class="line_1">жратва</div><div class="line_2">['scoff']</div><div class="line_1">посмешище</div><div class="line_2">['mockery', 'laughing-stock', 'joke', 'derision', 'mock', 'scoff']</div></div>	scoff	skôf	<div class="definitions"><div class="speechpart">Глагол</div><div class="line_1">speak to someone or about something in a scornfully derisive or mocking way.</div><div class="line_2">“You, a scientist?” he scoffed</div><div class="line_1">eat (something) quickly and greedily.</div><div class="line_2">she scoffed down several chops</div><div class="speechpart">Имя Существительное</div><div class="line_1">an expression of scornful derision.</div><div class="line_2">scoffs of disbelief</div><div class="line_1">food.</div></div>	
0e336f30-041b-8258-8945-a115112f70e0	возвышенный	<div class="synonyms"><div class="speechpart">Глагол</div><div class="line_1">сублимировать</div><div class="line_2">['sublimate', 'sublime']</div><div class="line_1">возгонять</div><div class="line_2">['sublime', 'sublimate']</div><div class="line_1">очищать</div><div class="line_2">['clean', 'purify', 'cleanse', 'clear', 'peel', 'sublime']</div><div class="speechpart">Имя Прилагательное</div><div class="line_1">возвышенный</div><div class="line_2">['exalted', 'sublime', 'elevated', 'lofty', 'high', 'elevate']</div><div class="line_1">величественный</div><div class="line_2">['majestic', 'magnificent', 'stately', 'grand', 'sublime', 'dignified']</div><div class="line_1">высокий</div><div class="line_2">['high', 'tall', 'lofty', 'big', 'elevated', 'sublime']</div></div>	sublime	səˈblīm	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">of such excellence, grandeur, or beauty as to inspire great admiration or awe.</div><div class="line_2">Mozart's sublime piano concertos</div><div class="speechpart">Глагол</div><div class="line_1">(of a solid substance) change directly into vapor when heated, typically forming a solid deposit again on cooling.</div><div class="line_2">the ice sublimed away, leaving the books dry and undamaged</div><div class="line_1">elevate to a high degree of moral or spiritual purity or excellence.</div><div class="line_2">let your thoughts be sublimed by the spirit of God</div></div>	
0edf808a-65a6-65c2-dd62-78b400ae0c4a	явный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">открытый</div><div class="line_2">['open', 'opened', 'uncovered', 'public', 'frank', 'overt']</div><div class="line_1">явный</div><div class="line_2">['explicit', 'obvious', 'apparent', 'sheer', 'evident', 'overt']</div><div class="line_1">неприкрытый</div><div class="line_2">['uncovered', 'overt', 'barefaced', 'bald', 'unsheltered', 'nude']</div></div>	overt	ōˈvərt	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">done or shown openly; plainly or readily apparent, not secret or hidden.</div><div class="line_2">an overt act of aggression</div></div>	
0f0c0033-8a20-05ca-1fbd-457be3399519	конечная остановка	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">вокзал</div><div class="line_2">['railway station', 'terminal', 'terminus', 'depot']</div><div class="line_1">конечная станция</div><div class="line_2">['terminal station', 'terminus', 'terminal']</div></div>	terminus	ˈtərmənəs	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">a final point in space or time; an end or extremity.</div><div class="line_2">the exhibition's terminus is 1962</div><div class="line_1">a figure of a human bust or an animal ending in a square pillar from which it appears to spring, originally used as a boundary marker in ancient Rome.</div></div>	
0f4491ca-87e6-67da-3f18-548539a1f09a	удачный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">удачный</div><div class="line_2">['successful', 'fortunate', 'lucky', 'felicitous', 'happy', 'prosperous']</div><div class="line_1">подходящий</div><div class="line_2">['suitable', 'appropriate', 'right', 'suited', 'fitting', 'felicitous']</div><div class="line_1">уместный</div><div class="line_2">['relevant', 'pertinent', 'opportune', 'apt', 'germane', 'felicitous']</div></div>	felicitous	fəˈlisədəs	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">well chosen or suited to the circumstances.</div><div class="line_2">a felicitous phrase</div></div>	
0f686a17-48af-d3af-c663-10b00a2388d4	банальный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">ежедневный</div><div class="line_2">['daily', 'everyday', 'quotidian', 'diurnal']</div><div class="line_1">банальный</div><div class="line_2">['banal', 'commonplace', 'trite', 'corny', 'trivial', 'quotidian']</div><div class="speechpart">Имя Существительное</div><div class="line_1">малярия с ежедневными приступами</div><div class="line_2">['quotidian']</div></div>	quotidian	kwōˈtidēən	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">of or occurring every day; daily.</div><div class="line_2">the car sped noisily off through the quotidian traffic</div></div>	
1196c9a7-6d81-31c2-c82e-3f5552faa6d5	распутство	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">распутство</div><div class="line_2">['profligacy', 'lechery', 'whoredom', 'harlotry', 'debauch', 'lecherousness']</div><div class="line_1">расточительность</div><div class="line_2">['extravagance', 'wastefulness', 'profligacy', 'prodigality', 'bluing', 'lavishness']</div></div>	profligacy	ˈpräfləɡəsē	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">reckless extravagance or wastefulness in the use of resources.</div><div class="line_2">the government returned to fiscal profligacy</div><div class="line_1">licentious or dissolute behavior.</div><div class="line_2">the emperor's sexual profligacy</div></div>	
11f88631-80b9-073d-584f-2f9dd7f1dafe	отхаркивание	<div class="synonyms"><div class="speechpart">Глагол</div><div class="line_1">налетать как ястреб</div><div class="line_2">['hawk']</div><div class="line_1">охотиться с ястребом</div><div class="line_2">['hawk']</div><div class="line_1">охотиться с соколом</div><div class="line_2">['hawk']</div></div>	hawking		<div class="definitions"><div class="speechpart">Глагол</div><div class="line_1">(of a person) hunt game with a trained hawk.</div><div class="line_2">he spent the afternoon hawking</div><div class="line_1">(of a bird or dragonfly) hunt on the wing for food.</div><div class="line_2">swifts hawked low over the water</div><div class="line_1">carry around and offer (goods) for sale, typically advertising them by shouting.</div><div class="line_2">street traders were hawking costume jewelry</div></div>	
1218dabc-5da8-d277-3f4d-b0d66205da65	злобно		balefully			
125f8c9d-9d6e-bdf6-e625-ab3103cbde90	сдержанность	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">сдержанность</div><div class="line_2">['restraint', 'reserve', 'moderation', 'reticence', 'modesty', 'control']</div><div class="line_1">скрытность</div><div class="line_2">['secrecy', 'reticence', 'secretiveness', 'reserve', 'stealthiness', 'furtiveness']</div><div class="line_1">умалчивание</div><div class="line_2">['reticence', 'reservation']</div></div>	reticence	ˈredəsəns	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">the quality of being reticent; reserve.</div><div class="line_2">the traditional emotional reticence of the British</div></div>	
14373a2d-1b64-a2a8-1847-07a68f97c92a	Пейсли	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">Пейсли</div><div class="line_2">['Paisley']</div></div>	paisley	ˈpāzlē	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">a distinctive intricate pattern of curved, feather-shaped figures based on a pine-cone design from India.</div><div class="line_2">a paisley silk tie</div></div>	
14cd5402-855f-97fb-fcb8-0439c51f2399	пустошь	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">вереск</div><div class="line_2">['heather', 'heath', 'briar', 'brier']</div><div class="line_1">пустошь, поросшая вереском</div><div class="line_1">степь, поросшая вереском</div></div>	heath	hēTH	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">a dwarf shrub with small leathery leaves and small pink or purple bell-shaped flowers, characteristic of heathland and moorland.</div></div>	
15432836-9ccb-29bf-8c2a-80b707256d19	смягчающее средство	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">смягчающий</div><div class="line_2">['emollient', 'extenuating', 'soothing', 'palliative', 'relaxing', 'alleviative']</div><div class="speechpart">Имя Существительное</div><div class="line_1">мягчительное средство</div><div class="line_2">['emollient', 'lenitive']</div></div>	emollient	əˈmälyənt	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">having the quality of softening or soothing the skin.</div><div class="line_2">an emollient cream</div><div class="speechpart">Имя Существительное</div><div class="line_1">a preparation that softens the skin.</div><div class="line_2">formulated with rich emollients</div></div>	
15540546-baac-7ca6-41fd-fc4940433ff3	шаткий	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">шаткий</div><div class="line_2">['shaky', 'wobbly', 'wonky', 'rickety', 'flimsy', 'unsteady']</div><div class="line_1">покосившийся</div><div class="line_2">['rickety']</div><div class="line_1">хрупкий</div><div class="line_2">['fragile', 'brittle', 'delicate', 'frail', 'breakable', 'rickety']</div></div>	rickety	ˈrikidē	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">(of a structure or piece of equipment) poorly made and likely to collapse.</div><div class="line_2">we went carefully up the rickety stairs</div><div class="line_1">(of a person) suffering from rickets.</div><div class="line_2">poverty was evident in undernourished faces or rickety legs</div></div>	
15803411-71dd-c14c-171a-592ecfc79f92	обман	<div class="synonyms"><div class="speechpart">Имя Существительное</div><div class="line_1">обман</div><div class="line_2">['deception', 'deceit', 'fraud', 'trick', 'hype', 'imposture']</div><div class="line_1">жульничество</div><div class="line_2">['fraud', 'deception', 'imposture', 'hokum', 'con', 'roguery']</div></div>	imposture	imˈpäsCHər	<div class="definitions"><div class="speechpart">Имя Существительное</div><div class="line_1">an instance of pretending to be someone else in order to deceive others.</div><div class="line_2">I discovered the imposture as soon as her doppelgänger arrived</div></div>	
162b01d5-d66b-9ab0-3843-e318fbac24c7	безвкусный	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">яркий</div><div class="line_2">['bright', 'vivid', 'colorful', 'shining', 'flamboyant', 'gaudy']</div><div class="line_1">безвкусный</div><div class="line_2">['tasteless', 'gaudy', 'flavorless', 'insipid', 'inelegant', 'bland']</div><div class="line_1">кричащий</div><div class="line_2">['screaming', 'flashy', 'crying', 'glaring', 'showy', 'gaudy']</div><div class="speechpart">Имя Существительное</div><div class="line_1">большое празднество</div><div class="line_2">['gaudy']</div></div>	gaudy	ˈɡôdē	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">extravagantly bright or showy, typically so as to be tasteless.</div><div class="line_2">silver bows and gaudy ribbons</div></div>	
167654f4-7a71-0f73-bae3-5eb7f869428d	уравновешивание	<div class="synonyms"><div class="speechpart">Имя Прилагательное</div><div class="line_1">компенсационный</div><div class="line_2">['countervailing', 'compensating', 'compensational']</div><div class="line_1">уравнительный</div><div class="line_2">['egalitarian', 'countervailing']</div></div>	countervailing	ˌkoun(t)ərˈvāliNG	<div class="definitions"><div class="speechpart">Имя Прилагательное</div><div class="line_1">offsetting an effect by countering it with something of equal force.</div><div class="line_2">the dominance of the party was mediated by a number of countervailing factors</div></div>	
